label,status,objective,economic_cost,first_stage_cost,operating_cost,latency_proxy,expected_co2,expected_water,co2_intensity,water_intensity,opened_sites,num_opened_sites,active_links,committed_capacity,accounting_mode,variant,gamma_co2,co2_slack,lambda_c,lambda_w,interconnect_cost_multiplier,binding_water_periods,experiment
"Price C=40, W=2",2,9747.861433905387,6260.11266610705,4247.863137149056,1463.8570461970587,548.3924827609364,67.8656514640254,386.5613546186601,0.05420114177622218,0.3087285885408597,"C1,C2,C3,C4,S1,S3,S4",7,17,386.68652208301756,location_time,priced,,,40,2,1.0,,internal_price_sweep
"Price C=40, W=5",2,10895.554835949964,6211.584782788685,4263.317680590968,1468.0321720813938,480.2349301163228,69.43062825711702,381.34898457531955,0.05545101600875378,0.30456571083152256,"C1,C2,C3,C4,S1,S3,S4",7,16,386.6865220830176,location_time,priced,,,40,5,1.0,,internal_price_sweep
"Price C=40, W=10",2,12802.299758826559,6211.5847827886855,4263.317680590969,1468.0321720813936,480.2349301163228,69.43062825711698,381.34898457531955,0.05545101600875375,0.30456571083152256,"C1,C2,C3,C4,S1,S3,S4",7,16,386.68652208301756,location_time,priced,,,40,10,1.0,,internal_price_sweep
"Price C=40, W=20",2,16611.451572617145,6228.245991339811,4275.576839273779,1470.2014174570113,482.46773460902006,69.33051494826336,380.49924916734,0.0553710601617265,0.3038870666525215,"C1,C2,C3,C4,S1,S3,S4",7,16,386.68652208301756,location_time,priced,,,40,20,1.0,,internal_price_sweep
"Price C=40, W=40",2,24201.29408330915,6228.631145994196,4276.914458925077,1469.9067828029997,481.8099042661185,69.87216946621658,379.44440396665726,0.05580365445188632,0.3030446108145417,"C1,C2,C3,C4,S1,S3,S4",7,16,386.6865220830172,location_time,priced,,,40,40,1.0,,internal_price_sweep
"Price C=40, W=80",2,39274.01628354062,6363.385253907191,4316.768512423544,1531.8483111774112,514.7684303062363,79.50210700336561,371.63183436873516,0.06349463801260347,0.2968050745649259,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830164,location_time,priced,,,40,80,1.0,,internal_price_sweep
"Price C=80, W=0",2,11650.038093791738,6369.632047094023,4332.364912531493,1467.669853084355,569.5972814781744,66.00507558372144,385.9451689170887,0.05271518629066655,0.308236469658172,"C1,C2,C3,C4,S1,S3,S4",7,16,386.6865220830176,location_time,priced,,,80,0,1.0,,internal_price_sweep
"Price C=80, W=2",2,12421.928431625913,6369.632047094022,4332.364912531492,1467.6698530843548,569.5972814781744,66.00507558372144,385.9451689170887,0.05271518629066655,0.308236469658172,"C1,C2,C3,C4,S1,S3,S4",7,16,386.68652208301756,location_time,priced,,,80,2,1.0,,internal_price_sweep
"Price C=80, W=5",2,13579.76393837718,6369.632047094022,4332.364912531492,1467.6698530843548,569.5972814781744,66.00507558372144,385.9451689170887,0.05271518629066655,0.308236469658172,"C1,C2,C3,C4,S1,S3,S4",7,16,386.6865220830176,location_time,priced,,,80,5,1.0,,internal_price_sweep
"Price C=80, W=10",2,15507.000130172239,6417.451465617137,4371.3222464054625,1467.7434228851812,578.3857963264935,65.47952783433014,385.1186437808691,0.05229545572799698,0.30757636244453096,"C1,C2,C3,C4,S1,S3,S4",7,16,386.6865220830176,location_time,priced,,,80,10,1.0,,internal_price_sweep
"Price C=80, W=20",2,19353.0761250374,6370.0356160013525,4342.433828669247,1472.905401179653,554.6963861524529,66.68024824357082,382.431032477519,0.053254415315519034,0.3054298922029615,"C1,C2,C3,C4,S1,S3,S4",7,16,386.6865220830176,location_time,priced,,,80,20,1.0,,internal_price_sweep
"Price C=80, W=40",2,26981.464718491137,6285.841821884406,4324.058412429766,1470.8594312554776,490.923978199163,68.88344644748172,379.62367952020486,0.05501400732760771,0.30318778986735007,"C1,C2,C3,C4,S1,S3,S4",7,16,386.6865220830175,location_time,priced,,,80,40,1.0,,internal_price_sweep
"Price C=80, W=80",2,42142.53493498674,6286.001972632782,4324.576708965795,1470.6672119908749,490.7580516761124,69.21513891473359,378.99152311469084,0.055278914685833735,0.30268291592565993,"C1,C2,C3,C4,S1,S3,S4",7,16,386.68652208301756,location_time,priced,,,80,80,1.0,,internal_price_sweep
